rank,prev_rank,name,league,off,def,spi
72,66,Osasuna,Spanish Primera Division,1.63,0.87,63.69
73,83,Monterrey,Mexican Primera Division Torneo Apertura,1.78,0.99,63.68
74,64,Rayo Vallecano,Spanish Primera Division,1.65,0.89,63.56
75,72,Dinamo Zagreb,UEFA Europa League,1.79,1.02,63.44
76,93,River Plate,Argentina Primera Division,1.74,0.99,62.83
77,62,Torino,Italy Serie A,1.64,0.91,62.83
78,67,Cadiz,Spanish Primera Division,1.65,0.93,62.62
79,82,Leeds United,Barclays Premier League,1.77,1.05,62.15
80,80,AZ,Dutch Eredivisie,1.84,1.13,61.8
81,71,FC Twente,Dutch Eredivisie,1.72,1.03,61.69
82,87,Tigres UANL,Mexican Primera Division Torneo Apertura,1.76,1.06,61.59
83,101,Atletico Mineiro,Brasileiro Série A,1.57,0.9,61.57
84,68,Verona,Italy Serie A,1.74,1.05,61.45
85,88,Southampton,Barclays Premier League,1.76,1.07,61.33
86,90,FC Augsburg,German Bundesliga,1.73,1.07,60.93
87,117,Young Boys,Swiss Raiffeisen Super League,2.05,1.35,60.88
88,84,VfL Bochum,German Bundesliga,1.71,1.06,60.73
89,86,Braga,Portuguese Liga,1.59,0.96,60.7
90,181,Schalke 04,German Bundesliga,1.64,1.0,60.66
91,102,Genk,Belgian Jupiler League,1.83,1.17,60.47
92,77,Shakhtar Donetsk,UEFA Champions League,1.88,1.22,60.47
93,196,Norwich City,English League Championship,1.72,1.08,60.43
94,247,Almeria,Spanish Primera Division,1.63,1.0,60.41
95,94,Sassuolo,Italy Serie A,1.92,1.26,60.3
96,97,Club América,Mexican Primera Division Torneo Apertura,1.59,0.98,60.15
97,103,FC Copenhagen,Danish SAS-Ligaen,1.69,1.07,60.06
98,186,Werder Bremen,German Bundesliga,1.62,1.01,59.82
99,267,Real Valladolid,Spanish Primera Division,1.61,1.01,59.8
100,99,Espanyol,Spanish Primera Division,1.59,0.99,59.72
101,105,Hertha Berlin,German Bundesliga,1.65,1.05,59.7
102,100,Nantes,French Ligue 1,1.64,1.04,59.64
103,91,Elche,Spanish Primera Division,1.59,1.0,59.59
104,98,Anderlecht,Belgian Jupiler League,1.74,1.14,59.55
105,96,Olympiacos,Greek Super League,1.59,1.01,59.44
106,115,São Paulo,Brasileiro Série A,1.45,0.89,59.02
107,129,Watford,English League Championship,1.68,1.11,58.84
108,75,Fulham,Barclays Premier League,1.57,1.02,58.7
109,124,Fluminense,Brasileiro Série A,1.49,0.94,58.7
110,274,Girona FC,Spanish Primera Division,1.57,1.04,58.35
111,127,Trabzonspor,Turkish Turkcell Super Lig,1.7,1.15,58.33
112,121,Internacional,Brasileiro Série A,1.59,1.06,58.2
113,95,Udinese,Italy Serie A,1.69,1.16,57.94
114,107,AFC Bournemouth,Barclays Premier League,1.55,1.03,57.92
115,116,Reims,French Ligue 1,1.5,0.99,57.78
116,120,Red Star Belgrade,UEFA Europa League,1.71,1.19,57.71
117,104,FC Utrecht,Dutch Eredivisie,1.75,1.23,57.6
118,109,Mallorca,Spanish Primera Division,1.58,1.08,57.58
119,133,New York City FC,Major League Soccer,1.8,1.29,57.36
120,143,Bragantino,Brasileiro Série A,1.55,1.05,57.35
121,119,Nottingham Forest,Barclays Premier League,1.53,1.04,57.31
122,114,Pachuca,Mexican Primera Division Torneo Apertura,1.61,1.12,57.12
123,128,Sheffield United,English League Championship,1.55,1.09,56.63
124,110,Bologna,Italy Serie A,1.59,1.14,56.11
125,112,FC Midtjylland,Danish SAS-Ligaen,1.74,1.29,56.02
126,131,Angers,French Ligue 1,1.47,1.05,55.79
127,130,Sparta Prague,UEFA Europa League,1.62,1.19,55.67
